from,to
CEO24,Club 1
CEO9,Club 1
CEO19,Club 1
CEO15,Club 2
CEO25,Club 2
CEO17,Club 2
CEO6,Club 2
CEO11,Club 2
CEO4,Club 2
CEO20,Club 2
CEO14,Club 2
CEO16,Club 2
CEO26,Club 2
CEO23,Club 2
CEO1,Club 3
CEO14,Club 3
CEO6,Club 3
CEO2,Club 3
CEO7,Club 3
CEO11,Club 3
CEO3,Club 3
CEO5,Club 3
CEO15,Club 3
CEO4,Club 3
CEO24,Club 3
CEO10,Club 3
CEO21,Club 3
CEO16,Club 3
CEO17,Club 3
CEO23,Club 3
CEO19,Club 3
CEO20,Club 3
CEO13,Club 3
CEO26,Club 3
CEO22,Club 3
CEO25,Club 3
CEO1,Club 4
CEO12,Club 4
CEO24,Club 4
CEO19,Club 4
CEO21,Club 4
CEO13,Club 4
CEO18,Club 4
CEO9,Club 4
CEO8,Club 4
CEO20,Club 4
CEO7,Club 4
CEO14,Club 4
CEO2,Club 5
CEO13,Club 5
CEO17,Club 5
CEO24,Club 6
CEO15,Club 6
CEO16,Club 6
CEO23,Club 6
CEO12,Club 7
CEO8,Club 7
CEO2,Club 7
CEO19,Club 7
CEO21,Club 8
CEO22,Club 8
CEO9,Club 8
CEO16,Club 8
CEO10,Club 9
CEO1,Club 9
CEO11,Club 9
CEO18,Club 9
CEO13,Club 9
CEO19,Club 9
CEO8,Club 10
CEO7,Club 10
CEO9,Club 10
CEO7,Club 11
CEO17,Club 11
CEO14,Club 11
CEO20,Club 11
CEO14,Club 12
CEO3,Club 12
CEO18,Club 12
CEO17,Club 12
CEO26,Club 12
CEO25,Club 13
CEO18,Club 13
CEO15,Club 13
CEO14,Club 13
CEO5,Club 13
CEO6,Club 14
CEO5,Club 14
CEO16,Club 14
CEO4,Club 15
CEO24,Club 15
CEO18,Club 15
CEO23,Club 15
CEO15,Club 15
CEO20,Club 15
CEO17,Club 15
CEO22,Club 15
CEO14,Club 15
